dataset,algorithm,f1,precision,recall,cover
us_population,CUSUM,0.033613445378151266,0.017094017094017096,1.0,0.013725490196078433
us_population,MicroWatch,0.14814814814814814,0.08,1.0,0.05661764705882353
us_population,PELT,0.04347826086956522,0.022222222222222223,1.0,0.012009803921568628
us_population,BOCPDMS_univ,0.12244897959183672,0.06521739130434782,1.0,0.3825980392156863
us_population,BOCPDMS_multi,0.888888888888889,1.0,0.8,0.8033761053440983
well_log,BOCPD,0.1491822895891504,0.09090909090909091,0.4155555555555555,0.26504321213022686
well_log,CUSUM,0.6065041610104469,0.4827586206896552,0.8155555555555555,0.48821756840955793
well_log,MicroWatch,0.7145272867025366,0.8,0.6455555555555555,0.7394418719918433
well_log,PELT,0.33628318584070793,0.20212765957446807,1.0,0.14194814814814813
well_log,BOCPDMS_univ,0.0911917098445596,0.04782608695652174,0.9777777777777779,0.12891181312030983
well_log,BOCPDMS_multi,0.23702252693437809,1.0,0.13444444444444445,0.22457547325102878
