dataset,algorithm,f1_score,precision_%,recall_%,covering_score,predicted_cps,true_cps
uk_coal_employ,MicroWatch(idx=5),51.33,100.0,34.52,35.65,0,19
uk_coal_employ,MicroWatch(idx=6),51.33,100.0,34.52,35.65,0,19
uk_coal_employ,BOCPD,51.33,100.0,34.52,35.65,0,19
uk_coal_employ,CUSUM,51.33,100.0,34.52,35.65,0,19
uk_coal_employ,PELT,51.33,100.0,34.52,35.65,0,19
uk_coal_employ,MicroWatch(idx=1),40.85,50.0,34.52,37.13,1,19
unemployment_nl,BOCPD,91.3,100.0,84.0,63.14,6,20
unemployment_nl,MicroWatch(idx=1),87.64,100.0,78.0,65.96,3,20
unemployment_nl,MicroWatch(idx=5),79.52,100.0,66.0,54.61,3,20
unemployment_nl,MicroWatch(idx=4),78.99,80.0,78.0,60.35,4,20
unemployment_nl,MicroWatch(idx=3),73.82,100.0,58.5,57.15,2,20
unemployment_nl,MicroWatch(idx=2),69.71,100.0,53.5,48.14,2,20
unemployment_nl,PELT,69.71,100.0,53.5,64.25,2,20
unemployment_nl,CUSUM,60.71,75.0,51.0,41.19,3,20
unemployment_nl,MicroWatch(idx=6),58.61,45.45,82.5,41.5,10,20
unemployment_nl,MicroWatch(idx=0),56.63,100.0,39.5,50.66,0,20
